756954722251022V95KJ8PT59809230828W	9049E30K7ZZ2019-05-31619168006M	3291892019-05-312017-06-190
263604868482359V50IX6ZE89625707028A	9259U12V4ZZ2016-07-24401644607D	3565572016-07-242019-10-153
440354124010355T23HJ9DM18683177444S	5933M13P0ZZ2019-01-11972677927C	3367532019-01-112018-02-159
103368968475242B44CV0YG75484983682V	3553Z30Y3ZZ2018-01-18829326676N	3867332018-01-182018-02-123
432715019286013O75KO5PY76881345002V	3814K45N1ZZ2019-04-30192298048C	3443842019-04-302017-12-041
034903871994474S97HW8TK57393313059F	6892I70M1ZZ2019-04-12202193957G	3285582019-04-122019-09-288
777353423122119B66IA5XD00261060942X	2244W38Y5ZZ2016-12-03148541073J	3216152016-12-032019-12-206
274252544049793P54FW2QO35298027303T	0432Z31C1ZZ2016-12-14583045412H	3467232016-12-142019-06-278
405374519138551H44IS0AS47472411530N	6283E84W9ZZ2019-12-27600186806T	3853182019-12-272018-07-031
572972784670483I99MJ5AM81521068827S	4869N22N5ZZ2017-07-25437732083M	3463722017-07-252018-11-267
488377861932114A22YP3NF88834848977B	8538A87I6ZZ2017-05-18416949375G	3592682017-05-182017-05-033
164124602487692B82ID8OJ13483753506X	2955M43P4ZZ2016-10-07790170370W	3965792016-10-072019-02-015
739203297961419G52KD1DR12422956458W	5808L73D2ZZ2019-01-07491841004Q	3987072019-01-072017-01-103
299809712284573U42ZE8CU30127687282S	8480B03D9ZZ2018-12-06842893906U	3845682018-12-062017-07-231
933220606302450O52AJ4GA58389004961D	4338Q40F2ZZ2019-04-05986973430G	3989402019-04-052018-02-265
351997395321086U19HE4ZF76750211988Q	3826W79C1ZZ2018-08-24915646336E	3812432018-08-242017-05-127
631622286261229I41GV6OE03400442543T	5115Y91N8ZZ2019-03-02560899781C	3621832019-03-022019-09-279
627918806633926U76HE1IK14031610660O	6538R59M7ZZ2018-03-25858214955Z	3280952018-03-252019-03-138
213156911486054N44GJ4YV65489737714N	9005N88H3ZZ2018-10-24246231067N	3783102018-10-242019-10-171
109524573182070P58WN2GB36618595558A	1073D87D2ZZ2019-02-05568345696R	3630592019-02-052018-01-066
531601294829749Z07RO8JB36169623606R	0106L90N6ZZ2016-06-12087901418F	3800442016-06-122019-12-149
967991291793495R83TG6JD96345016201E	7766H20S7ZZ2016-11-29928145126L	3920062016-11-292019-05-263
270671139143371K09OX9MS66868915947J	8492B70Z2ZZ2019-10-12828021769D	3901712019-10-122019-02-077
582810989481610U27IQ2FK94190137344I	0317A39W3ZZ2019-09-25020137430M	3412082019-09-252018-01-142
074497077571502X21BA5XH67713137086J	0973U54L8ZZ2017-11-21827942671U	3941132017-11-212019-10-139
733592454934259Q85VA2ZJ03305356566V	7524G03K0ZZ2019-11-08491574551F	3187122019-11-082018-03-129
588951530041360D19ZE8HX19076340046F	8806O41Y3ZZ2017-04-08554255320E	3749752017-04-082019-10-273
439421412369248K58CA5SW44140664341A	7026H67T5ZZ2018-08-02786540701Z	3521632018-08-022017-04-181
787768241558354C34SP6WG90173418110W	5598W75L4ZZ2018-10-10615519175P	3270282018-10-102019-08-104
526398582179790S96EM2FB47272029726K	5886A76C2ZZ2019-05-02167720653W	3526932019-05-022017-01-186
440548996481162I93DQ7VB66961572689O	5695X45C1ZZ2019-10-15929734885H	3720182019-10-152019-05-116
087261566483959K59TI6HT22955414855L	6998C35U2ZZ2019-01-30997444826E	3703762019-01-302018-01-231
640636400173798U41EX9GQ96171739108Y	3044C00Y9ZZ2018-06-16085231758D	3528302018-06-162019-04-034
376226944440615V61UB6JY66415947115L	7045K80L7ZZ2016-02-05861815287R	3131832016-02-052017-05-046
718380807982435V68EU7LI50002032678A	4440O07M3ZZ2018-06-07332818503D	3488732018-06-072017-07-292
980782858193478E97OH3YX48672694503B	0465H23E8ZZ2017-01-21271793790Q	3337692017-01-212019-10-063
289513721567653O95AX0EL10050098409L	8856Z77G5ZZ2017-12-24445094771M	3486682017-12-242018-06-021
739504016237892F33TL3XC54869097620Z	7111F44S6ZZ2018-06-15667554926T	3745542018-06-152018-08-028
669389500806033I79HQ2PJ55149377146U	8572Y25V8ZZ2016-12-28626838460E	3920172016-12-282019-03-023
216186927615979U13RU0EY97165972944D	6104B72T6ZZ2019-01-29869423530U	3809372019-01-292018-01-144
825873659666012A32KJ1WB89365197454W	8256W05V0ZZ2018-04-04922559551P	3148472018-04-042019-03-179
481065288015621V24AW9ET54146124700B	5230S82A6ZZ2018-08-20577176012R	3434292018-08-202017-09-034
609119942843169K70ET7UA32412892523A	4623C08F2ZZ2020-01-08726462892W	3177442020-01-082020-01-052
609705265191248R13SM6JV45054856089N	1146S88A2ZZ2019-06-13543949732V	3260822019-06-132019-03-148
269384589101241Z87DB8NI96360947875V	0732B20H3ZZ2019-07-09814839463Q	3745422019-07-092017-11-259
701014322826493J26ZU0AC23559922796G	7603U27R6ZZ2016-06-28484619301V	3816632016-06-282019-06-192
135028106510268P03IL6QF91638585838C	8165X59K1ZZ2018-10-08283103377Y	3205722018-10-082017-02-248
312503299632934R27OP5JK76140419635F	9926I82U1ZZ2016-05-24519214831E	3369812016-05-242019-07-010
038202957232693Y06ES5FI77396317275M	3605Q53U9ZZ2016-05-04939717010M	3213312016-05-042018-12-073
657502935486718B90SN8JV87515304037C	8423L90B8ZZ2017-06-05422009306V	3963112017-06-052018-12-250
709496929507902A85LY0GO00335683127M	5809A81A2ZZ2018-06-20100843175M	3101122018-06-202017-01-230
851708296631350G68HZ6MD70336245060W	2306C79V3ZZ2018-09-26115197781K	3665062018-09-262019-08-308
037745281821855V95EU3UL28336820048L	7842R33I7ZZ2017-05-08612239695I	3281412017-05-082019-08-305
671288170307742A48QX4UN36238503600V	1077N36X6ZZ2016-09-17087960772Y	3532522016-09-172019-11-277
680705365278860K34NI2GV37144352053U	0897J28U9ZZ2016-11-13742684341C	3226342016-11-132017-11-097
548484650033689B63BX8QJ92376110159F	1412B32I5ZZ2016-03-09441416438V	3563922016-03-092017-11-288
317412328810153F69KU9NX84394687440Z	8793G27E1ZZ2017-05-10088165449E	3371062017-05-102018-12-054
286998214736228P94GP2EL77003318111K	3818V64S4ZZ2019-12-18058112305D	3997182019-12-182018-01-143
762191155947534P56BR5YW70736751793T	6023B31C4ZZ2016-07-06789602346N	3262932016-07-062018-04-224
326795218260346M39EQ1YM86270019949C	6793W32X0ZZ2016-01-18890494744L	3518622016-01-182018-08-109
949317744830932Q29IF3JO79400290316T	7002S00O6ZZ2018-06-16629609073U	3961702018-06-162017-05-268
678176541356989K74IM8NW93510691630X	5713H53T6ZZ2019-08-23314674898F	3827892019-08-232017-05-084
218182768832784I41AV6BK76596174352I	8306R17Z2ZZ2017-12-01195263814B	3185692017-12-012019-05-190
749159755583241K32CW3SL01347387512U	1726L62L7ZZ2016-06-28299707867H	3175192016-06-282019-04-179
358698313884394K55AE3XS14883210363M	6836J72O2ZZ2017-07-16903624999R	3599722017-07-162019-10-305
951759111276152J50LM9XF80849763548T	5653P93U7ZZ2018-01-08931784042E	3170942018-01-082019-03-285
575760140082849W31TA0WO14486616068N	9432J84H1ZZ2019-12-19151756851J	3317962019-12-192017-04-122
